Processor,BIN
DRX,808413
DRX,16747
DRX,27380
DRX,19942
DRX,19934
DRX,611783
DRX,15327
DRX,610301
DRX,610302
DRX,20537
DRX,610738
DRX,21874
DRX,610419
DRX,26267
DRX,17423
DRX,17218
DRX,20149
DRX,22690
DRX,610743
DRX,610679
DRX,14889
DRX,23112
DRX,23749
DRX,24863
DRX,26720
DRX,18687
DRX,24921
DRX,21742
DRX,610210
DRX,14559
DRX,21734
DRX,21759
DRX,24987
DRX,23947
DRX,24525
DRX,17267
DRX,610641
DRX,20206
DRX,20214
DRX,611796
DRX,17069
DRX,611778
DRX,27050
DRX,17366
DRX,23575
DRX,25672
DRX,610861
DRX,610739
DRX,17498
DRX,610378
DRX,610269
DRX,23518
DRX,20578
DRX,18547
DRX,18042
DRX,24350
DRX,610308
DRX,23194
DRX,28199
DRX,610747
DRX,15673
DRX,26416
DRX,611785
DRX,610398
DRX,610737
DRX,610746
DRX,610396
DRX,610399
DRX,18562
DRX,18224
DRX,20958
DRX,22063
DRX,23286
DRX,611781
DRX,23765
DRX,20818
DRX,28413
DRX,26069
DRX,19348
EHO,19710
EHO,3241
EHO,4527
EHO,23442
EHO,23293
EHO,4880
EHO,4428
EMDEON,18935
EMDEON,610305
EMDEON,23609
EMDEON,22154
EMDEON,22584
EMDEON,21155
EMDEON,22220
EMDEON,21122
EMDEON,23906
EMDEON,21411
EMDEON,54237
EMDEON,21130
EMDEON,22162
EMDEON,19835
EMDEON,17705
EMDEON,22113
EMDEON,6086
EMDEON,21635
EMDEON,21940
EMDEON,610749
EMDEON,21148
EMDEON,3573
EMDEON,19140
EMDEON,14947
EMDEON,6631
EMDEON,15707
EMDEON,8696
EMDEON,15665
EMDEON,15715
EMDEON,15680
EMDEON,22238
ENVISIONRX,12775
ENVISIONRX,20032
ENVISIONRX,17529
ENVISIONRX,11289
ENVISIONRX,13492
ENVISIONRX,15185
ENVISIONRX,25169
ENVISIONRX,27489
ENVISIONRX,23491
ENVISIONRX,20594
ENVISIONRX,19272
ENVISIONRX,610724
ENVISIONRX,610303
ENVISIONRX,15342
ENVISIONRX,9893
ENVISIONRX,16473
ENVISIONRX,15566
ENVISIONRX,18661
ENVISIONRX,23187
ENVISIONRX,14244
ENVISIONRX,18852
ENVISIONRX,610288
ENVISIONRX,21791
ENVISIONRX,21072
ENVISIONRX,17134
ENVISIONRX,18075
ENVISIONRX,22287
ENVISIONRX,19926
ENVISIONRX,19819
ENVISIONRX,12312
ENVISIONRX,610342
ENVISIONRX,14848
ENVISIONRX,19950
ENVISIONRX,637639
ENVISIONRX,19983
ENVISIONRX,14582
ENVISIONRX,19389
ENVISIONRX,19975
ENVISIONRX,16359
ENVISIONRX,21080
ENVISIONRX,17241
ENVISIONRX,24368
ENVISIONRX,19025
ENVISIONRX,13477
ENVISIONRX,610346
ENVISIONRX,21783
ENVISIONRX,610306
ENVISIONRX,610636
ENVISIONRX,23211
ENVISIONRX,24789
eRx,610144
eRx,21858
eRx,15219
eRx,14922
eRx,22451
eRx,17738
eRx,23229
EXPRESS,900002
EXPRESS,610575
EXPRESS,610014
EXPRESS,3858
EXPRESS,4451
EXPRESS,12924
EXPRESS,610077
EXPRESS,13550
EXPRESS,610544
EXPRESS,17010
EXPRESS,610083
EXPRESS,400023
EXPRESS,10033
EXPRESS,8142
EXPRESS,13865
EXPRESS,610546
EXPRESS,19363
EXPRESS,11800
EXPRESS,15748
EXPRESS,610053
EXPRESS,610031
EXPRESS,610064
EXPRESS,610056
EXPRESS,13337
EXPRESS,13344
EXPRESS,600568
EXPRESS,14211
EXPRESS,11818
EXPRESS,25425
EXPRESS,3592
EXPRESS,10991
EXPRESS,610041
EXPRESS,610090
EXPRESS,400004
EXPRESS,123455
EXPRESS,677548
FDS,7895
FDS,7985
FFI,4816
FLIPT,610740
FOCUSSCRIP,610720
GAINWELL,25151
GAINWELL,610515
GAINWELL,24251
GAINWELL,25417
GHS,17804
GHS,11933
GHS,8316
GHS,15863
GHS,15855
GHS,17795
GHS,14293
GOODRX,15995
GOODRX,25128
HEALTHESYS,12874
HEALTHTRNS,10595
HEALTHTRNS,9562
HIPPO,19728
HIPPO,19901
HIPPO,27836
HIPPO,26465
HIPPO,19918
HIPPO,19884
HIPPO,19868
HIPPO,19876
HIPPO,19892
IHA,4626
IHA,24913
IHA,24896
IHA,16557
IHA,12635
IHA,12486
INCS,636104
INTGRASCRP,15467
KS MED,610517
LA MED,610514
LAKER,5377
LAKER,610118
LAKER,14872
LAKER,18240
LAKER,23500
LAKER,4204
LAKER,17556
LAKER,13667
LAKER,600518
LAKER,28124
LAKER,23922
LAKER,17944
LAKER,9863
LAKER,19802
LAKER,9786
LAKER,19059
LAKER,11065
LAKER,8977
LAKER,12691
LAKER,11073
LAKER,9083
LAKER,9929
LAKER,9075
LAKER,800004
LAKER,10447
LAKER,28505
LAKER,16169
LAKER,610271
LAKER,20040
LAKER,12718
LAKER,610748
LAKER,14640
LAKER,15012
LAKER,17853
LAKER,17845
LAKER,21882
LAKER,28017
LAKER,28025
LAKER,28363
LAKER,28371
LAKER,28389
LAKER,28397
LAKER,15532
MA MED,16309
MAGELLAN,18786
MAGELLAN,11925
MAGELLAN,16523
MAGELLAN,20701
MAGELLAN,17449
MAGELLAN,18407
MAGELLAN,17431
MAGELLAN,17472
MAGELLAN,18331
MAGELLAN,9695
MAGELLAN,18679
MAGELLAN,17035
MAGELLAN,11503
MAGELLAN,11529
MAGELLAN,22659
MAGELLAN,9661
MAGELLAN,17606
MAGELLAN,18902
MAGELLAN,13352
MAGELLAN,14864
MAGELLAN,25986
MAGELLAN,9737
MAGELLAN,13766
MAGELLAN,24888
MAGELLAN,9513
MAGELLAN,9745
MAGELLAN,10900
MAGELLAN,18117
MAGELLAN,26787
MAGELLAN,12345
MAGELLAN,13898
MAGELLAN,9704
MAGELLAN,15243
MAGELLAN,2286
MAGELLAN,21247
MAGELLAN,5260
MCKESSON,610500
ME MED,5526
ME MED,2453
MEDIMP,3585
MEDIMP,15517
MEDIMP,27497
MEDIMP,15441
MEDIMP,15525
MEDIMP,16549
MEDIMP,16085
MEDIMP,610475
MEDIMP,5500
MEDIMP,26366
MEDIMP,26373
MEDIMP,27019
MEDIMP,808412
MEDIMP,15558
MEDIMP,16689
MEDIMP,17696
MEDIMP,992
MEDIMP,492
MEDIMP,9224
MEDIMP,16671
MEDIMP,12882
MEDIMP,27133
MEDIMP,17706
MEDIMP,17142
MEDIMP,15400
MEDIMP,26309
MEDIMP,23880
MEDIMP,15574
MEDIMP,610610
MEDIMP,16508
MEDIMP,16796
MEDIMP,27026
MEDIMP,25516
MEDIMP,25508
MEDIMP,17720
MEDIMP,17168
MEDIMP,5518
MEDIMP,11917
MEDIMP,20750
MEDIMP,610312
MEDIMP,25481
MEDIMP,25763
MEDIMP,6053
MEDIMP,17713
MEDIMP,13105
MEDIMP,610193
MEDIMP,18596
MEDMONK,16664
MERIDIANRX,610241
MERIDIANRX,18803
MERIDIANRX,18091
MERIDIANRX,18280
MERIDIANRX,19843
MN MED,610459
MO MED,4047
MOLINA,610164
NAVITUS,610186
NAVITUS,22006
NAVITUS,610602
NAVITUS,16127
NAVITUS,26119
NAVITUS,20974
NAVITUS,26340
NAVITUS,25432
NAVITUS,25409
NAVITUS,26002
NAVITUS,22014
NAVITUS,71225
NAVITUS,27100
NAVITUS,18315
NAVITUS,26010
NAVITUS,610826
NAVITUS,22022
NAVITUS,24004
NAVITUS,17564
NAVITUS,17571
NAVITUS,15921
ND MED,601364
ND MED,610115
ND MED,610110
ND MED,610116
NDC,11727
NDC,12361
NDC,15094
NEWTECH,21445
NEWTECH,19066
NEWTECH,22329
OK MED,10579
OMNISYS,4303
OPTUM,610097
OPTUM,610652
OPTUM,603286
OPTUM,610548
OPTUM,600471
OPTUM,610011
OPTUM,16424
OPTUM,21916
OPTUM,610453
OPTUM,600426
OPTUM,12957
OPTUM,610640
OPTUM,4519
OPTUM,1553
OPTUM,7887
OPTUM,17522
OPTUM,610704
OPTUM,610550
OPTUM,12163
OPTUM,610593
OPTUM,3452
OPTUM,23070
OPTUM,603017
OPTUM,21825
OPTUM,21684
OPTUM,5947
OPTUM,610171
OPTUM,25796
OPTUM,8324
OPTUM,20321
OPTUM,4682
OPTUM,11685
OPTUM,5780
OPTUM,11891
OPTUM,5757
OPTUM,4919
OPTUM,7417
OPTUM,8191
OPTUM,600787
OPTUM,610504
OPTUM,610510
OPTUM,800010
OPTUM,17911
OPTUM,12304
OPTUM,6524
OPTUM,11321
OPTUM,606464
OPTUM,610527
OPTUM,22485
OPTUM,15251
OPTUM,20586
OPTUM,26142
OPTUM,502805
OPTUM,16432
OPTUM,13469
OPTUM,610494
OPTUM,610613
OPTUM,4781
OPTUM,18506
OPTUM,19579
OPTUM,24319
OPTUM,12502
OPTUM,19173
OPTUM,16184
OPTUM,610675
OPTUM,610560
OPTUM,4469
OPTUM,21429
OPTUM,18794
OPTUM,22725
OPTUM,15814
OPTUM,15839
OPTUM,10553
OPTUM,20768
OPTUM,604824
OPTUM,12295
OPTUM,11081
OPTUM,9117
OPTUM,12973
OPTUM,8985
OPTUM,9992
OPTUM,610606
OPTUM,11297
OPTUM,11792
OPTUM,11867
OPTUM,11198
OPTUM,12510
OPTUM,12155
OPTUM,610127
OPTUM,24301
OPTUM,610619
OPTUM,19827
OPTUM,11255
OPTUM,11222
OPTUM,11214
OPTUM,11859
OPTUM,11842
OPTUM,11230
OPTUM,11172
OPTUM,11553
OPTUM,21692
OPTUM,15789
OPTUM,12478
OPTUM,17933
OPTUM,16580
OPTUM,601574
OPTUM,610706
OPTUM,220026
OPTUM,262400
OPTUM,22576
OPTUM,13170
OPTUM,24327
OPTUM,16390
OPTUM,8662
OPTUM,3650
OPTUM,15913
OPTUM,11875
OPTUM,610705
OPTUM,601577
OPTUM,11677
OPTUM,15962
OPTUM,610182
OPTUM,12592
OPTUM,18643
OPTUM,25036
OPTUM,18258
OPTUM,15970
OPTUM,16093
OPTUM,24441
OPTUM,24433
OPTUM,7110
OPTUM,14856
OPTUM,14260
OPTUM,18034
OPTUM,14632
OPTUM,23153
OPTUM,25367
OPTUM,610621
OPTUM,13451
OPTUM,610174
OPTUM,25961
OPTUM,7382
OPTUM,18869
OPTUM,15383
OPTUM,14681
OPTUM,15723
OPTUM,21049
OPTUM,18844
OPTUM,14186
OPTUM,610279
OPTUM,16714
OPTUM,9299
OPTUM,15756
OPTUM,23252
OPTUM,23534
OPTUM,24334
OPTUM,25359
OPUS,601341
OR MED,14203
PA MED,600760
PCS,25052
PDMI,22279
PDMI,610020
PDMI,25227
PDMI,16110
PDMI,6012
PDMI,27704
PDMI,24517
PDMI,21171
PDMI,13535
PDMI,26606
PDMI,21932
PDMI,19629
PDMI,17274
PDMI,14955
PFORCE,24269
PHARMACO,610322
PHIL,25390
PHMPIX,21031
PHMPIX,17051
PHS,16813
PMSI,4261
PMSI,2538
PMSI,610096
PMSI,13071
POCNET,15210
PRIME THER,610617
PRIME THER,11552
PRIME THER,16862
PRIME THER,4915
PRIMECAPRX,610455
PRIMECAPRX,16895
PRIMECAPRX,610624
PRIMECAPRX,15905
PRIMECAPRX,14897
PRIMECAPRX,12833
PRIMECAPRX,800001
PRIMECAPRX,16499
PRIMECAPRX,610212
PRIMECAPRX,20289
PRIMECAPRX,610623
PRIMECAPRX,28447
PRIMECAPRX,610648
PROCARE RX,610719
PROCARE RX,9265
PROCARE RX,610489
PROCARE RX,10868
PROCARE RX,20826
PROCARE RX,22352
PROCARE RX,900014
PROCARE RX,18753
PROCARE RX,21981
PROCARE RX,18166
PROCARE RX,17200
PROCARE RX,900020
PROCARE RX,22816
PROCARE RX,22824
PROCARE RX,18299
PROCARE RX,14575
PROCARE RX,5285
PROCARE RX,5491
PROCARE RX,8266
PROCARE RX,27308
PROCARE RX,24871
PROCARE RX,17812
PROCARE RX,14830
PROCARE RX,17043
PROCARE RX,28173
PROCARE RX,18364
PROCARE RX,17324
PROCARE RX,20271
PROCARE RX,14310
PROCARE RX,13832
PROCARE RX,610170
PROCARE RX,23971
PROCARE RX,28660
PROCARE RX,24756
PROCARE RX,24748
PROCARE RX,22188
PROCARE RX,9430
PROCARE RX,25664
PROCARE RX,8035
PROCARE RX,28280
PROCARE RX,610601
PROCARE RX,27118
PROCARE RX,25003
PROCARE RX,12965
PROCARE RX,18778
PROCARE RX,17614
PROCARE RX,17670
PROCARE RX,18372
PROCARE RX,22733
PROCARE RX,22740
PROCARE RX,21437
PROCARE RX,23781
PROCARE RX,23237
PROCARE RX,22294
PROCARE RX,23798
PROCARE RX,12493
PROCARE RX,8134
PROCARE RX,21056
PROCARE RX,18159
PROCARE RX,22501
PROCARE RX,22808
PROCARE RX,610711
PROCARE RX,15235
PROCARE RX,16879
PROCARE RX,11131
PROCARE RX,20313
PROCARE RX,22344
PROCARE RX,11669
PROCARE RX,17647
PROCARE RX,17515
PROCARE RX,15730
PROCARE RX,20859
PRSCRYPTIV,26944
REDSAIL,19752
REDSAIL,19686
REDSAIL,19785
REDSAIL,26614
REDSAIL,26621
REDSAIL,639858
REDSAIL,26639
REDSAIL,26647
REDSAIL,16904
REDSAIL,21288
REDSAIL,8878
REDSAIL,26837
REDSAIL,27943
REDSAIL,19694
REDSAIL,25937
REDSAIL,28249
REDSAIL,21908
REDSAIL,28257
REDSAIL,880151
REDSAIL,24814
REDSAIL,25219
REGENT,610440
RELAYHLTH,610352
RELAYHLTH,17746
RELAYHLTH,610490
RELAYHLTH,610600
RELAYHLTH,16516
RELAYHLTH,24284
RELAYHLTH,24806
RELAYHLTH,637765
RELAYHLTH,610524
RELAYHLTH,26952
RELAYHLTH,610237
RELAYHLTH,26829
RELAYHLTH,26655
RELAYHLTH,19769
RELAYHLTH,19124
RELAYHLTH,610744
RELAYHLTH,610770
RELAYHLTH,610852
RELAYHLTH,24730
RELAYHLTH,611790
RELAYHLTH,12684
RELAYHLTH,11362
RELAYHLTH,25656
RELAYHLTH,19505
RELAYHLTH,20503
RELAYHLTH,20511
RELAYHLTH,610160
RELAYHLTH,12825
RELAYHLTH,19546
RELAYHLTH,610150
RELAYHLTH,25706
RELAYHLTH,20016
RELAYHLTH,24061
RELAYHLTH,19488
RELAYHLTH,25242
RELAYHLTH,25333
RELAYHLTH,25945
RELAYHLTH,21114
RELAYHLTH,27357
RELAYHLTH,610208
RELAYHLTH,610163
RELAYHLTH,610162
RELAYHLTH,21957
RELAYHLTH,4923
RELAYHLTH,610630
RELAYHLTH,610243
RELAYHLTH,610234
RELAYHLTH,611789
RELAYHLTH,22799
RELAYHLTH,610228
RELAYHLTH,21627
RELAYHLTH,639930
RELAYHLTH,20834
RELAYHLTH,610557
RELAYHLTH,610830
RELAYHLTH,20776
RELAYHLTH,25854
RELAYHLTH,14823
RELAYHLTH,22527
RELAYHLTH,28033
RELAYHLTH,27422
RELAYHLTH,6558
RELAYHLTH,8563
RELAYHLTH,21254
RELAYHLTH,24839
RELAYHLTH,18570
RELAYHLTH,16721
RELAYHLTH,19744
RELAYHLTH,18308
RELAYHLTH,26480
RELAYHLTH,18448
RELAYHLTH,17290
RELAYHLTH,23435
RELAYHLTH,21668
RELAYHLTH,21239
RELAYHLTH,13113
RELAYHLTH,15888
RELAYHLTH,23989
RELAYHLTH,637469
RELAYHLTH,18605
RI MED,610471
RXADVANCE,27174
RXADVANCE,20545
RXADVANCE,610315
RXLOGIC,21775
RXLOGIC,27969
RXLOGIC,20685
RXLOGIC,26423
RXLOGIC,24053
RXLOGIC,16151
RXLOGIC,24228
RXLOGIC,26472
RXLOGIC,26985
RXLOGIC,28000
RXLOGIC,21767
RXLOGIC,23484
RXLOGIC,16143
RXLOGIC,610198
RXLOGIC,24277
RXLOGIC,27844
RXLOGIC,18877
RXLOGIC,24649
RXLOGIC,19538
RXLOGIC,22774
RXLOGIC,23468
RXLOGIC,23476
RXLOGIC,24616
RXLOGIC,24624
RXLOGIC,24631
RXLOGIC,24657
RXLOGIC,24665
RXLOGIC,26977
RXLOGIC,26241
RXLOGIC,610311
RXLOGIC,23541
RXLOGIC,23120
RXLOGIC,28066
RXLOGIC,610268
RXLOGIC,26051
RXLOGIC,21064
RXLOGIC,17894
RXLOGIC,610338
RXLOGIC,25953
RXLOGIC,25458
RXLOGIC,22204
RXLOGIC,22832
RXLOGIC,13849
RXLOGIC,22139
RXLOGIC,28455
RXLOGIC,19074
RXLOGIC,25832
RXLOGIC,9951
RXLOGIC,25011
RXTECH,23161
RXTECH,22492
RXTECH,23145
SCRIPTDROP,18885
SCRIPTHLTH,27316
SCRPTCYCLE,16466
SCRPTCYCLE,17373
SELECTHLTH,800008
SELECTHLTH,15938
SENTRYDATA,12130
SOUTHRNAPI,27167
STONERIVER,5567
STONERIVER,9620
TREDIUM,21577
TREDIUM,21585
TREDIUM,21593
TREDIUM,610133
TREDIUM,20891
TREDIUM,21890
TREDIUM,23260
TREDIUM,14236
TREDIUM,18273
TREDIUM,21619
TREDIUM,21460
TREDIUM,24202
TREDIUM,19132
TREDIUM,639860
TREDIUM,639861
TREDIUM,639859
TREDIUM,21395
TREDIUM,18737
TREDIUM,22096
TREDIUM,21403
TREDIUM,21387
TREDIUM,21569
TREDIUM,15284
TREDIUM,16607
TREDIUM,28140
TREDIUM,610214
TREDIUM,610713
TREDIUM,20297
TREDIUM,20305
TREDIUM,21601
TREDIUM,18943
TREDIUM,20875
TREDIUM,20883
TREDIUM,17688
TREDIUM,27992
TREDIUM,21841
TREDIUM,22146
TREDIUM,17663
TREDIUM,18951
TREDIUM,639589
TREDIUM,18711
TREDIUM,27605
TREDIUM,24144
TREDIUM,18704
TREDIUM,21213
TREDIUM,21205
TREDIUM,20743
TREDIUM,24193
TREDIUM,18471
TREDIUM,21478
TREDIUM,17076
TREDIUM,639857
TREDIUM,611776
TREDIUM,14658
TREDIUM,27588
TREDIUM,19090
TREDIUM,19116
TREDIUM,21536
TREDIUM,610642
TREDIUM,19082
TREDIUM,17639
TREDIUM,19413
TREDIUM,24160
TREDIUM,610114
TREDIUM,20941
TREDIUM,610862
TREDIUM,24178
TREDIUM,26530
TREDIUM,26548
TREDIUM,26556
TREDIUM,984000
TREDIUM,19462
TREDIUM,4410
TREDIUM,23302
TREDIUM,23310
TREDIUM,23328
TREDIUM,23343
TREDIUM,23351
TREDIUM,23369
TREDIUM,23377
TREDIUM,23385
TREDIUM,23392
TREDIUM,23401
TREDIUM,24152
TREDIUM,24111
TREDIUM,24129
TREDIUM,24136
TREDIUM,20909
TREDIUM,20917
TREDIUM,21528
TREDIUM,22469
TREDIUM,22477
TREDIUM,610729
TREDIUM,18729
TREDIUM,19455
TREDIUM,18992
TREDIUM,21551
TREDIUM,20131
TREDIUM,20073
TREDIUM,20933
TREDIUM,27613
TREDIUM,21924
TREDIUM,24376
TREDIUM,24383
TREDIUM,24391
TREDIUM,24400
TREDIUM,24418
TREDIUM,23062
TREDIUM,23054
TREDIUM,19231
TREDIUM,19298
TREDIUM,20628
TREDIUM,20610
TREDIUM,610388
TREDIUM,15896
TREDIUM,26449
TREDIUM,22378
TREDIUM,22386
TREDIUM,22393
TREDIUM,610325
TREDIUM,13329
TRINTYHLTH,19280
TRNRX,23897
TRUVERIS,610317
US SCRIPT,8019
US SCRIPT,16788
WI MED,610499
WI MED,16929
WSDLI,610566
